,course_enrolled,discoverccm_tv,discoverccm_radio,info_ccm_admissions,decision_programs,participate_open_house,decision_oldcollege,decisioncomp_other,discoverccm_socialmedia,info_ccm_website,participate_festival,discoverccm_billboard,decisioncomp_family_job,participate_decision_day,participate_college_fair,decision_online_offerings,discoverccm_other,decisioncomp_dual_enrollment,decision_financialaid,decision_reputation,discoverccm_web,participate_summer_camp,age,participate_hs_campus_visit,info_ccm_workforce_dev,decisioncomp_hs_computing,info_nj_development,decision_transfer_credits,discoverccm_employer,decision_location_convenience,decision_affordable,decisioncomp_work,gender,info_employer,decisioncomp__hs_club,participate_challenger,decisioncomp_employer,discoverccm_student,discoverccm_inapp,race_ethnicity,discoverccm_hs_counselor,decisioncomp_influence,decisioncomp_ap_class,info_hs_counselor,decision_ccmstaff,participate_on_campus_session,participate_hs_info_session,decision_njstars_program,additional_comp_classes,decision_hs_credit,decision_class_sizes,info_hs_teacher,reason,discoverccm_relative,decisioncomp_afterschool_camp,participate_workforce,discoverccm_hs_teacher,decisioncomp_summer_camp,info_ccm_counselor,discoverccm_web,decisioncomp_hs_staff,discoverccm_community,participate_campus_visit,decisioncomp_ccmstudent,decision_opportunities,comp_first_choice,decision_transfer_4yr,participate_women_who_dare,participate_sharetime,info_other,degree,decision_scholarships,timestamp,participate_cybersecurity,participate_corporate_training,decision_referral,decisioncomp_stem,year
10,CMP 239 Internet & Web Page Design,No,No,No,High Impact,Yes,No Impact,No Impact,No,No,No,No,Some Impact,No,No,Some Impact,No,Some Impact,No Impact,No Impact,No,No,18 -,No,No,Some Impact,No,No Impact,No,Some Impact,Some Impact,No Impact,Man,No,No Impact,Yes,No Impact,Yes,No,White/Caucasian,Yes,Some Impact,Some Impact,Yes,High Impact,Yes,Yes,No Impact,,High Impact,No Impact,No,,Yes,No Impact,No,Yes,No Impact,No,Yes,Some Impact,No,No,Some Impact,Some Impact,First Choice,High Impact,No,Yes,No,"Information Technology, Applied Associate of Science",No Impact,2020-08-03 11:24:59-05:00,Yes,No,Some Impact,Some Impact,2020
11,CMP 239 Internet & Web Page Design,No,No,,Some Impact,No,No Impact,High Impact,No,,No,No,No Impact,No,No,Some Impact,No,No Impact,No Impact,Some Impact,Yes,No,25-34,No,,No Impact,,High Impact,No,Some Impact,High Impact,Some Impact,Man,,No Impact,No,No Impact,No,No,White/Caucasian,No,No Impact,No Impact,,No Impact,No,No,No Impact,5.0,No Impact,Some Impact,,"I'm making a shift from Engineering to IT, as it is more clear and manageable for me to complete my degree and take the next steps to more education or launching my career, in addition to the significantly greater support from the IT and Computer Science faculty and staff than the Engineering department",Yes,No Impact,No,No,No Impact,,No,No Impact,No,Yes,No Impact,No Impact,,Some Impact,No,No,,Engineering,No Impact,2020-08-03 12:00:01-05:00,No,No,No Impact,No Impact,2020
12,CMP 239 Internet & Web Page Design,No,No,No,Some Impact,No,Some Impact,,No,No,No,No,Some Impact,No,No,No Impact,No,No Impact,No Impact,High Impact,No,No,19-20,No,No,High Impact,No,Some Impact,No,High Impact,Some Impact,No Impact,Man,No,No Impact,Yes,No Impact,No,No,White/Caucasian,Yes,No Impact,No Impact,No,Some Impact,No,Yes,No Impact,,No Impact,Some Impact,No,,Yes,No Impact,No,Yes,No Impact,No,No,High Impact,No,No,Some Impact,Some Impact,Animation ,Some Impact,No,No,No,Other,No Impact,2020-08-03 14:01:43-05:00,No,No,High Impact,No Impact,2020
13,CMP 128 Computer Science I,No,No,,High Impact,No,No Impact,High Impact,No,,No,No,No Impact,No,No,No Impact,Yes,No Impact,High Impact,High Impact,Yes,No,25-34,No,,No Impact,,High Impact,No,Some Impact,High Impact,No Impact,Man,,No Impact,No,No Impact,Yes,No,Hispanic or Latino,No,No Impact,No Impact,,No Impact,No,No,High Impact,5.0,No Impact,No Impact,,It is already the future.,Yes,No Impact,No,No,No Impact,,Yes,No Impact,No,No,No Impact,High Impact,,High Impact,No,No,,Undecided,No Impact,2020-09-08 22:47:44-05:00,No,No,No Impact,No Impact,2020
14,CMP 128 Computer Science I,No,No,No,High Impact,Yes,,,Yes,Yes,No,No,No Impact,Yes,Yes,No Impact,Yes,Some Impact,High Impact,High Impact,No,No,18 -,No,No,High Impact,No,High Impact,No,High Impact,Some Impact,No Impact,Man,No,High Impact,No,No Impact,No,No,Hispanic or Latino,Yes,No Impact,High Impact,No,High Impact,Yes,No,,,Some Impact,,No,,No,,No,Yes,,No,No,Some Impact,Yes,Yes,No Impact,,First Choice,High Impact,No,No,Yes,"Computer Science, Associate of Science",Some Impact,2020-09-09 09:21:38-05:00,No,No,Some Impact,High Impact,2020
15,CMP 128 Computer Science I,No,No,Yes,Some Impact,No,No Impact,No Impact,No,Yes,No,No,High Impact,No,No,No Impact,No,No Impact,No Impact,No Impact,Yes,No,18 -,No,No,Some Impact,No,No Impact,No,High Impact,High Impact,No Impact,Woman,No,No Impact,No,No Impact,Yes,No,Hispanic or Latino,No,High Impact,No Impact,No,No Impact,No,No,No Impact,,No Impact,No Impact,No,,Yes,No Impact,No,No,No Impact,Yes,No,Some Impact,No,No,No Impact,No Impact,I changed it a couple times. First one was game design.,No Impact,No,No,No,"Computer Science, Associate of Science",No Impact,2020-09-09 09:27:47-05:00,No,No,High Impact,No Impact,2020
16,CMP 128 Computer Science I,No,No,Yes,High Impact,No,,,No,No,No,No,High Impact,No,No,High Impact,No,,High Impact,High Impact,Yes,No,21-24,No,No,Some Impact,No,High Impact,No,High Impact,High Impact,,Man,No,Some Impact,No,,Yes,No,White/Caucasian,Yes,High Impact,,Yes,High Impact,Yes,Yes,,,High Impact,High Impact,No,,No,Some Impact,No,Yes,,Yes,Yes,,No,Yes,,,MET/ES Dual Degree,High Impact,No,No,No,"Computer Science, Associate of Science",High Impact,2020-09-09 09:59:49-05:00,No,No,High Impact,Some Impact,2020
17,CMP 128 Computer Science I,No,No,Yes,High Impact,Yes,,,Yes,Yes,No,Yes,High Impact,No,Yes,Some Impact,No,,No Impact,Some Impact,No,Yes,18 -,Yes,Don't recall,High Impact,Don't recall,Some Impact,Yes,High Impact,Some Impact,,Woman,Don't recall,Some Impact,No,,No,No,Asian,Yes,High Impact,High Impact,Don't recall,Some Impact,Yes,Yes,,,,High Impact,Yes,,Yes,,No,Yes,,Yes,No,High Impact,Yes,No,,High Impact,First Choice,High Impact,No,No,Don't recall,"Computer Science, Associate of Science",Some Impact,2020-09-09 10:15:32-05:00,Not Sure,No,Some Impact,,2020
18,CMP 128 Computer Science I,No,No,,High Impact,No,Some Impact,,No,,No,No,Some Impact,No,No,High Impact,Don't recall,,No Impact,No Impact,No,No,19-20,No,,Some Impact,,No Impact,No,Some Impact,Some Impact,,Woman,,,No,,No,No,Multi-Racial,No,Some Impact,,,No Impact,No,No,No Impact,5.0,No Impact,Some Impact,,"These classes could lead me to jobs that can be done online, web design in particular which interested me in both the technical and creative aspects alike.",Yes,,No,No,,,No,Some Impact,No,Yes,,Some Impact,,High Impact,No,No,,Non Degree seeking,No Impact,2020-09-09 10:43:41-05:00,No,No,No Impact,,2020
19,CMP 128 Computer Science I,No,No,No,Some Impact,No,No Impact,No Impact,No,No,No,No,Some Impact,No,No,Some Impact,No,No Impact,Some Impact,Some Impact,Yes,No,21-24,Yes,No,No Impact,No,No Impact,No,No Impact,Some Impact,No Impact,Woman,No,No Impact,No,No Impact,Yes,No,Black/African American,Yes,High Impact,No Impact,No,Some Impact,No,No,No Impact,,No Impact,Some Impact,No,,Yes,No Impact,No,Yes,No Impact,No,Yes,No Impact,Yes,Yes,No Impact,No Impact,Nursing,High Impact,No,No,No,"Information Technology, Applied Associate of Science",Some Impact,2020-09-09 12:37:11-05:00,No,No,Some Impact,No Impact,2020
20,CMP 128 Computer Science I,No,No,No,Some Impact,No,No Impact,No Impact,No,No,No,No,No Impact,No,No,High Impact,No,No Impact,No Impact,No Impact,No,No,19-20,Yes,No,High Impact,No,No Impact,No,High Impact,High Impact,No Impact,Man,No,Some Impact,No,No Impact,No,No,White/Caucasian,Yes,Some Impact,Some Impact,No,No Impact,No,No,No Impact,,No Impact,No Impact,No,,Yes,No Impact,No,Yes,No Impact,No,Yes,No Impact,No,No,No Impact,No Impact,I was a musical theatre major first but the program that I wanted to transfer too would not accept CCM credits.,High Impact,No,No,No,"Computer Science, Associate of Science",High Impact,2020-09-09 12:37:16-05:00,No,No,Some Impact,Some Impact,2020
21,CMP 128 Computer Science I,No,No,No,High Impact,Yes,No Impact,No Impact,No,No,No,No,High Impact,No,No,High Impact,No,No Impact,No Impact,High Impact,No,No,18 -,No,No,High Impact,No,No Impact,No,High Impact,High Impact,No Impact,Man,No,No Impact,No,No Impact,Yes,No,White/Caucasian,Yes,High Impact,High Impact,Yes,High Impact,No,No,No Impact,,High Impact,High Impact,Yes,,Yes,No Impact,No,Yes,No Impact,No,Yes,High Impact,No,No,No Impact,Some Impact,First Choice,High Impact,No,Yes,No,"Computer Science, Associate of Science",No Impact,2020-09-09 13:21:27-05:00,No,No,High Impact,Some Impact,2020
22,CMP 128 Computer Science I,No,No,,High Impact,No,No Impact,No Impact,Yes,,No,Yes,No Impact,No,No,High Impact,Don't recall,No Impact,High Impact,Some Impact,Yes,No,19-20,No,,No Impact,,High Impact,No,High Impact,High Impact,No Impact,Woman,,No Impact,No,No Impact,Yes,Yes,Asian,Yes,No Impact,No Impact,,Some Impact,No,Yes,No Impact,3.0,No Impact,Some Impact,,I want to Give Computer Science a try to understand technology better ,Yes,No Impact,No,Yes,No Impact,,Yes,No Impact,Yes,No,No Impact,No Impact,,High Impact,No,No,,Undecided,Some Impact,2020-09-09 14:28:37-05:00,No,No,High Impact,No Impact,2020
23,CMP 128 Computer Science I,No,No,No,High Impact,No,,,No,No,No,No,,No,No,High Impact,No,,No Impact,Some Impact,No,No,18 -,No,No,Some Impact,No,,No,High Impact,High Impact,,Man,No,Some Impact,Yes,,No,No,Asian,Yes,,,Yes,High Impact,No,No,,,High Impact,Some Impact,No,,Don't recall,,No,No,,No,No,High Impact,No,No,,,First Choice,High Impact,No,No,No,Challenger Program,No Impact,2020-09-09 16:18:53-05:00,No,No,Some Impact,,2020
24,CMP 239 Internet & Web Page Design,No,No,Yes,High Impact,No,,,No,Yes,No,No,High Impact,No,No,High Impact,Don't recall,,,,Yes,No,19-20,No,Don't recall,High Impact,Don't recall,,No,High Impact,High Impact,,Man,Don't recall,,No,,No,No,Asian,No,High Impact,,Don't recall,,No,No,,,,,Don't recall,,Yes,,No,No,,Yes,Yes,,No,No,,,First Choice,High Impact,No,No,Don't recall,"Information Technology, Applied Associate of Science",,2020-09-09 16:47:03-05:00,No,No,High Impact,,2020
